type,category,review,star
SK매직 식기세척기,별점,"그동안의 고민이 무색할 정도로 편하구 좋습니다.
그런데 건조가 좀 아쉬워요.
완료후 문을 바로 열어놓는데도 수저통 아래도 물이 흥건하고 상단에 날개에도 물기가 있어 아래칸으로 떨어집니다.건조만 완벽하게 된다면 정말 좋겠어요.",평점4
SK매직 식기세척기,별점,"가격대비 만족합니다. 고가 라인 식기세척기는 사용 안 해 봤지만 가격 대비 대만족입니다. 젊은 나이에 손 관절염이 와서 손을 많이 사용 못 하고 맞벌이 중 이어서 시간도 없지만.. 설거지 모아 놨다가 한꺼번에 돌려 놓고 그 동안 다른 일 할 수도 있고, 만족하고 사용 중 입니다. 그릇 위치를 어떻게 놓느냐에 따라 세척 여부가 살짝 달라지 는 것 같지만 전 그래도 만족입니다. ㅋㅋㅋ 신세계~~~",평점4
SK매직 식기세척기,별점,"1. 가성비가 좋으며 바로바로 설치일정 조율가능해 서비스부분 만족

2. 설치기사님 별도로 설치전 확인부분 가이드 잘해주심 만족

3. 빌트인전용이고 별도 판넬 주문했으나 판매자와의 소통에서 판넬 오주문으로 번거로움이 있었으나 빠르게 대응해주심",평점4
SK매직 식기세척기,별점,음 친구가 가성비 좋다고 추천해서 구매했어요 세척후 뜨끈뜨끈하니 세척및살균은 아주 좋은것같은데 건조가 완벽히 되지는 않는듯해서 아쉽네요 사장님도 친절하시고 설치기사님도 매우 친절하게 신경서서 설치해주셨어요^^,평점4
SK매직 식기세척기,별점,유럽꺼 살까 엄청고민을 했었는데 그릇놓는 판도 그렇고 한국형이 좋을꺼 같더라구요 그래서 SK 동양매직을 선택했고 주변에서도 많이 쓰네요 인테리어효과상 메탈블랙을 했어요 넘넘 이쁘고 기능도 복잡하지 않아서 좋아요,평점4
SK매직 식기세척기,별점,"성품자체는 좋으나 절차성의 번거로움과
(규격이 맞는지 사람불러서 미리확인
도어를 택배로 따로 받아야함)
설치비는 무료라 하나 싱크장 철거비용(5만)과
맨 끝쪽이라 보강작업비(2만)이 추가로 지출됨",평점4
SK매직 식기세척기,별점,"이사 다니면서 매번 빌트인된 엘지만 썼었는데, 뭔가 가볍고 약한 느낌은 있는데, 세척은 잘되네여. 가성비가 좋은 것이 큰 장점이네요.
그리고 배송은 정말 빠르네여. 주말인데도 주문하고 바로 다음날 설치했어요.",평점4
SK매직 식기세척기,별점,한 달 사용해도 여전히 뻑뻑하긴 하지만 편리하고 가격 대비 만족해요. 그런데 아파트에 빌트인으로 되어있던 지난 제품에 비해서 건조가 좀 안되는 거 같긴 하네요~,평점4
SK매직 식기세척기,별점,"거의 매일 잘 사용하고 있어요.
자동 문열림 기능이 없어서 걱정했는데 저녁먹고 작동 시작하고 부엌 정리하고 샤워하고 잘 준비 하면 완료 되어 문 열고 그릇들 앞으로 땡겨서 말립니다.
설거지 시간이 줄어들어 만족합니다.",평점4
SK매직 식기세척기,별점,"가성비 최고예요.
매장에 가면 비싼 제품밖에 없더라고요.
자동문 열림기능도 조금밖에 안열리니까 어차피 사람이 열어야 하거든요.
070번호로 연락이 너무 안되서 별하나 뺐습니다.",평점4
SK매직 식기세척기,별점,"잘 닦이고 좋아요.같이주신 세제에 린스도 같이있는거라 그런가 좀 미끈해서 찝찝하긴하더라구요.
그래서 반으로 쪼개서 반만쓰니 훨씬 괜찮아요~
설거지 시간도 줄이고 좋네요.주부습진이 자주 생기는 저에겐 진짜 좋네요~",평점4
SK매직 식기세척기,별점,"자리가없어 가스렌지 아래 빌트인으로
설치했습니다. 상단 바 제거 5만원만
추가비용 들었네요.
주문 담날에 바로 설치까지 되고
제품도 만족해요.
설거지옥 해방입니다",평점4
SK매직 식기세척기,별점,"설치에 2시간 넘게 걸렸는데..기사분이 너무 힘들어해서 난감했네요 ㅎㅎ
설치는 깔금하게 마무리되었고
바로 사용해봤어요.
만족스러워요",평점4
