type,category,review,star
SK매직 식기세척기,별점,좋아요 근데 무료로 알고 있었는데 기사님이 설치비를 따로 받으시네요 7만원이나,평점3
SK매직 식기세척기,별점,모니터링 지속해보니 세척은 잘되는거같습니다 완료되고 퍽하고 문열리는게 가끔 놀라긴합니다 쓸만해요,평점3
SK매직 식기세척기,별점,이전에 삼성 12인용을 사용했었는데 온도는 훨씬 뜨겁고 소음은 커요,평점3
SK매직 식기세척기,별점,뜨거운 물에 세척되서 좋은데 세제 흔적이 남아있기도 합니다.,평점3
SK매직 식기세척기,별점,"마감준비가 완전치않아서..ㅜㅠ
그래도 와이프가좋아하네요",평점3
SK매직 식기세척기,별점,좋아요~ 컵 세척이 안 되는 경우가 있어서 별 2개 뺍니다..,평점3
SK매직 식기세척기,별점,"색깔은 연회색인데 문여닫을때 좀 뻑뻑함, 배송엄청 빠름",평점3
SK매직 식기세척기,별점,그럭저럭 괜찮습니다. 애기 젖병 세척기능은 편해요,평점3
SK매직 식기세척기,별점,생각보다 편하고좋아요 건조가쫌 덜되긴하네요,평점3
SK매직 식기세척기,별점,주말이지만 가급적 제 원하는 날짜에 맞춰주심,평점3
SK매직 식기세척기,별점,"건조상태가 약함..
문 열고닫기가 빡빡한 느낌.
세정력은 좋은상태.
내부공간도 넓은편",평점3
SK매직 식기세척기,별점,잘 사용해보려고합니다. 배송이슈가 있었어요,평점3
SK매직 식기세척기,별점,"제품은 좋습니다. 다만, 매립설치는 비용이 어마어마하네요. 기본설치비용으로 깔끔한 매립은 안된다고합니다. 한마디로 설치의대한 내용을 수정하시기바랍니다.",평점3
SK매직 식기세척기,별점,가격도 괜찮고 유용하게 쓰고 있습니다,평점3
SK매직 식기세척기,별점,"잘사용중입니다
문이 마니 벅뻑하네요",평점3
SK매직 식기세척기,별점,엄청 편해요. 가격대비 기능에 만족,평점3
SK매직 식기세척기,별점,가격 적당하고 성능ㆍ디자인 무난,평점3
SK매직 식기세척기,별점,앚ㄱ사용안해서잘모르겠어요,평점3
SK매직 식기세척기,별점,값에비해 괜찮은거 같네요,평점3
SK매직 식기세척기,별점,좋은가격에 잘 샀엉ᆢㄷ,평점3
SK매직 식기세척기,별점,좋은가격에 잘 샀어요,평점3
SK매직 식기세척기,별점,괜찮아요 ...,평점3
SK매직 식기세척기,별점,문을열때 뻑뻑해요.세척이다되면 문을열어줘야하는불편함이있지만 싸니까..,평점3
SK매직 식기세척기,별점,신세계,평점3
SK매직 식기세척기,별점,사용전이구요 생애 첫 식기세척기 입니다 자알~쓰겠습니다~,평점3
SK매직 식기세척기,별점,배송기사 친절하고 설치 잘해주셨어요 씽크대하고 잘어울려서 마음에 듭니다 세척력도 좋습니다 수저 담는 통이 조금 아쉽기는 합니다,평점3
SK매직 식기세척기,별점,"설치하자마자 눌림버튼이 고장확인되서 바로 a/s 신청
했네요~ㅜㅜ",평점3
SK매직 식기세척기,별점,내일 10시 수업입니다 오늘은 정말 좋은 하루 보내세요 감사합니다 감사합니다 감사합니다,평점3
SK매직 식기세척기,별점,걸래받이가 16.5센티라 상세설명보고 문을 제작했는데 약간 길어요~아랫부분이 일체감이 있어야 깔끔하게 빌트인 효과가 좋은데 그점이 좀 아쉽네요~그래도 설치기사님이 최대한 맞춰줬어요~ 소음은 좀 있는편이애요. 소리가 드럼세탁기 소리만큼 소음이 있네요~밤에 돌리는건 안될듯하고 저녁즘에 다 돌리고 자야할듯하고요~리뷰에 냄새가 난다는 말이 많던데 아주 조금 았는 정도라 신경쓰이지는 않았어요~세척력은 제가 처음이라 그릇을 잘 배열을 못해서인지 스텐재질은 만족스럽진 않구요. 사기그릇재질은 반딱반딱하게 잘 닦여서 나오네요~좀 더 내공을 쌓아서 사용해야 할듯해요~,평점4
SK매직 식기세척기,별점,"입주때 빌트인되어있던(십여년넘은듯)
DWA-7201B를 사용하다 고장나서
7303b로 주문했어요.
가격저렴 하고 그전에 썼던것도  만족했던터라~
이것도 만족할듯해요.
그리고 도어패널이 전꺼랑 맞을꺼같아서 (사이즈대충재보니) 주문안했는데
설치오셔서 하시더니  사이즈가 안맞더라고요.ㅠ
도어패널을  시키고
다시 오셔서 설치해주신다하더라고요.
두번걸음 하게 해드렸다는ㅠ
패널만 다시 시키자니 ㅠ
사이즈 그려달라해서
동네 목공소가서  대충 잘른다했어요.제가 그런거신경 안쓰는타입이라ㅎ전체적으로 저희 싱크대도 더러워서ㅎ근데 저같은경우로  비슷한 제품쓰다 바꾸시는거라도
도어패널 미리 주문하세요~~",평점4
SK매직 식기세척기,별점,"무료설치는 아니고 세제는 받았습니다.
싱크장분리 저도 할수 있을듯한데 그걸 5만원이나 받고 그거까지는 안내 되어 있어서 그려러니 했지만 끝장이라 또 뭐가 추가 되더라고요. 역시 추가추가가 기본이죠;;
전에 설치 기사님은 인덕션 거치대도 안내 해 주고 설치까지 해준다고 했았는데 이번에는 우리는 모르니 알라서 해라..
걸레받이 절단을 실내에서 해서 온집안이 나무가루로 난리였고.. 설치하는분도 잘 만나야 하는듯!
상품이 잘 못 된건 아니지만 이런 서비스라면 sk는 다시 구입하지 않을듯 합니다.",평점4
